id,name,vendor,type,segment,condition,warranty_tag,cpu,ram,ssd,gpu,screen,price,compare_at,stock_tracked,qty,url
44712818,Laptop cũ Dell XPS 9365 2in1 Core i7-7Y75 | 16GB | 256GB | 13.3 inch Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i7,16GB DDR4,256GB SSD NVMe PCIe,Intel Graphics,13.3 inch FHD,12880000,16980000,no,0,https://laptoptv.vn/laptop-cu-cao-cap-dell-xps-9365-2in1-cam-ung-core-i7-7y75-16gb-256gb-man-hinh-13-3-inch-xoay-ga-p-360
53868016,[Like New] Dell Latitude 7420 [Vỏ nhôm] Core i7-1185G7 | 16GB | 512GB | 14.0 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-1185G7,16GB DDR4,512GB NVMe,Iris Xe Graphics,14inch FHD,12980000,16990000,yes,3,https://laptoptv.vn/laptop-cu-dell-latitude-7420-vo-nhom-core-i7-1185g7-16gb-512gb-14-0-inch-fhd
44713056,[Like New] Dell Latitude 9410 2in1 Core i7-10610U |  16GB | 256GB | 14 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i7- 10610U,16GB DDR4,256GB NVMe,onboard,14inch,12980000,18980000,yes,5,https://laptoptv.vn/dell-latitude-9410-2in1-core-i7-10610u-16gb-256gb-man-hinh-14-inch-fhd
44712960,[Like New] Dell Latitude 7420 2in1 [Vỏ carbon] Core i7-1185G7 | 16GB | 512GB| 14 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-1145G7,16GB DDR4,512GB Nvme,Iris Xe Graphics,14 inch FHD Cảm ứng,12980000,14980000,no,0,https://laptoptv.vn/laptop-cu-dell-latitude-7420-2in1-core-i7-1185g7-ram-16gb-ssd-512gb-man-14-0-inch-fhd
44712906,[Like New] Dell Latitude 7410 2in1 [Vỏ nhôm] Core i7-10610U | 16GB | 512GB | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-10610U,16GB DDR4,512GB NVMe,Intel Graphics,14 inch FHD Cảm ứng,12980000,19860000,no,0,https://laptoptv.vn/dell-latitude-7410-2in1-ca-m-u-ng-core-i7-10610u-16gb-512gb-xoay-ga-p-360-vo-nhom
44713034,[Like New] Dell Latitude 9510 2in1 Core i5-10310U | 16GB | 256GB | 15.6 FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-10310U,16GB DDR4,256GB NVMe,Intel Graphics,15.6 inch FHD Cảm ứng,13280000,16860000,no,0,https://laptoptv.vn/dell-latitude-9510-2in1-core-i5-10310u-16gb-256gb-man-hinh-15-6-fhd-cam-ung
55055557,[LikeNew] Lenovo Thinkpad X1 Yoga Gen 6 2in1  Core i5-1135G7 | 16GB | 256GB | 14 inch FHD+ ( Kèm bút ),Lenovo,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i5-1135G7,16GB LPDDR4,M.2 NMVe 256GB,Intel Graphics,14 inch FHD+ Cảm ứng,13480000,22680000,yes,2,https://laptoptv.vn/likenew-lenovo-thinkpad-x1-yoga-gen-6-2in1-core-i5-1135g7-16gb-256gb-14-inch-fhd
44712956,[Like New] Dell Latitude 7420 2in1 [Vỏ nhôm] Core i7-1165G7 | 16GB | 256GB | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-1165G7,16GB DDR4,256GB NVMe,Intel Graphics,14 inch FHD Cảm ứng,13480000,15480000,no,0,https://laptoptv.vn/laptop-cu-dell-latitude-7420-2in1-cam-ung-core-i7-1165g7-16gb-256gb-xoay-ga-p-360
44712875,Laptop cũ Lenovo Thinkpad X1 Yoga Gen 5 Core i5-10210U | 16GB | 512GB | 14 inch FHD,Lenovo,Laptop,Xoay gập,Cũ,6 Tháng,intel Core i5-10210U,16GB LPDDR4,M.2 NMVe 512GB,Intel Graphics,14 inch FHD,13480000,22180000,no,0,https://laptoptv.vn/laptop-cu-cao-cap-lenovo-thinkpad-x1-yoga-gen-5-core-i5-10210u-16gb-512gb-cam-ung-xoay-gap-360
58871527,[Like New] Dell Inspiron 5406 2in1 Core i7-1165G7 | 16GB | 512GB | 14 inch FHD  Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i7- 1165G7,16GB DDR4,256GB NVMe PCIe,Intel Graphics,14 inch FHD+ Cảm ứng,13680000,18690000,no,0,https://laptoptv.vn/like-new-dell-inspiron-5406-2in1-core-i7-1165g7-16gb-512gb-14-inch-fhd-cam-ung
